instrument,datetime,open,high,low,close,volume
AAPL,7/29/2010,7.845701978,7.904083288,7.706970931,7.767458439,643806800
AAPL,7/30/2010,7.700648159,7.815303726,7.670854426,7.741574764,448210000
AAPL,8/2/2010,7.837578381,7.902279101,7.812901864,7.880010128,428055600
AAPL,8/3/2010,7.854728882,7.922439007,7.80688018,7.882414818,417653600
AAPL,8/4/2010,7.909800663,7.953134824,7.833664135,7.914013863,420375200
AAPL,8/5/2010,7.876399768,7.920036096,7.840889302,7.875497341,289097200
AAPL,8/6/2010,7.817711998,7.86917281,7.753010509,7.827041626,444897600
AAPL,8/9/2010,7.868874948,7.889038526,7.811396857,7.877000809,303128000
AAPL,8/10/2010,7.819819642,7.83787621,7.750603604,7.806578159,451920000
AAPL,8/11/2010,7.685905039,7.69463198,7.517681606,7.529116631,620054400
AAPL,8/12/2010,7.423790926,7.616690918,7.406637581,7.5772686,534920400
AAPL,8/13/2010,7.573057753,7.579979041,7.496017949,7.496319294,354869200
AAPL,8/16/2010,7.450576906,7.523704855,7.421686377,7.452382565,318430000
AAPL,8/17/2010,7.525807045,7.662733233,7.499324074,7.58268404,422640400
AAPL,8/18/2010,7.594418912,7.663934689,7.570945373,7.615784645,339696000
AAPL,8/19/2010,7.608865907,7.628126252,7.483676874,7.519789219,426706000
AAPL,8/20/2010,7.505043396,7.641366913,7.493306221,7.512566566,384230000
AAPL,8/23/2010,7.577265729,7.583585126,7.380453955,7.397004604,414041600
AAPL,8/24/2010,7.302814643,7.312744553,7.181838007,7.220357895,602565600
AAPL,8/25/2010,7.163480259,7.342537653,7.138201861,7.309433937,596867600
AAPL,8/26/2010,7.386473646,7.395501932,7.230889797,7.230889797,466505200
AAPL,8/27/2010,7.275130006,7.301010297,7.088849933,7.271217346,548391200
AAPL,8/30/2010,7.245333814,7.395501486,7.242926271,7.297697067,383289200
AAPL,8/31/2010,7.278138378,7.35969271,7.232998543,7.315755844,420786800
AAPL,9/1/2010,7.447264273,7.567337695,7.411453268,7.533332348,697037600
AAPL,9/2/2010,7.561317278,7.588702679,7.480365652,7.588702679,415427600
AAPL,9/3/2010,7.676576519,7.787621632,7.658821291,7.787321091,520788800
AAPL,9/7/2010,7.72321962,7.810190084,7.711483252,7.758429527,342557600
AAPL,9/8/2010,7.817715995,7.956447868,7.797251876,7.912210464,526551200
AAPL,9/9/2010,7.976009235,8.020547183,7.91221094,7.916724682,438575200
AAPL,9/10/2010,7.920331145,7.959754244,7.866463597,7.926951885,387542400
AAPL,9/13/2010,7.999480573,8.073510916,7.997675719,8.036194801,388780000
AAPL,9/14/2010,8.01121559,8.100292259,7.990450936,8.066888809,408150400
AAPL,9/15/2010,8.070202815,8.136710003,8.060271295,8.131894112,429368800
AAPL,9/16/2010,8.132493114,8.325994124,8.110223346,8.322984695,652103200
AAPL,9/17/2010,8.356689185,8.364815042,8.236014735,8.286872864,634477200
AAPL,9/20/2010,8.308241975,8.53996321,8.30132069,8.523411751,658677600
AAPL,9/21/2010,8.542371249,8.647397526,8.510170756,8.539662361,668074400
AAPL,9/22/2010,8.507761366,8.666354649,8.49873308,8.659433365,585289600
AAPL,9/23/2010,8.616698928,8.810200751,8.606768216,8.694641113,786116800
AAPL,9/24/2010,8.790339938,8.833373561,8.743695,8.796959877,649488000
AAPL,9/27/2010,8.846911049,8.869480546,8.757533075,8.762046814,482834800
AAPL,9/28/2010,8.780406814,8.780406814,8.275738192,8.632647514,1035042400
AAPL,9/29/2010,8.643781796,8.72142343,8.606767038,8.647994995,469644000
AAPL,9/30/2010,8.697052983,8.727146475,8.463827414,8.539061546,673391600
AAPL,10/1/2010,8.611281244,8.624221383,8.46683191,8.502041817,448142800
AAPL,10/4/2010,8.474360176,8.513481155,8.359101031,8.38528347,435302000
AAPL,10/5/2010,8.486394328,8.710590715,8.480976554,8.695243835,501967200
AAPL,10/6/2010,8.714806042,8.787030733,8.584500575,8.702768326,670868800
AAPL,10/7/2010,8.737373385,8.741586585,8.634152815,8.703668594,408399600
AAPL,10/8/2010,8.778600881,8.862561911,8.727141673,8.849621773,658403200
AAPL,10/11/2010,8.869790904,8.945024238,8.865577702,8.888447762,427753200
AAPL,10/12/2010,8.889952973,9.013036645,8.802079229,8.984146118,558544000
AAPL,10/13/2010,9.034095162,9.08705948,9.022057451,9.032289505,630092400
AAPL,10/14/2010,9.078936759,9.102409497,9.040115535,9.097595215,435296400
AAPL,10/15/2010,9.25197617,9.479484176,9.175839627,9.47165966,922194000
AAPL,10/18/2010,9.58391187,9.599860642,9.458120118,9.569767952,1093010800
AAPL,10/19/2010,9.130394709,9.442464728,9.028678464,9.313664436,1232784000
AAPL,10/20/2010,9.298921926,9.45691332,9.234823103,9.344964981,721624400
AAPL,10/21/2010,9.400038675,9.471661491,9.232718412,9.314573288,551460000
AAPL,10/22/2010,9.30102648,9.330217532,9.21766813,9.252877235,372778000
AAPL,10/25/2010,9.301628548,9.377162379,9.282066864,9.294104576,392462000
AAPL,10/26/2010,9.234823785,9.321192388,9.198108752,9.270334244,392929600
AAPL,10/27/2010,9.258293052,9.32600317,9.196600986,9.263710022,399002800
AAPL,10/28/2010,9.267322737,9.268827853,9.055164049,9.185770035,551051200
AAPL,10/29/2010,9.155376801,9.205031176,9.054261591,9.057572365,430511200
